year,no,new_id,category,answer
2024,18,418,生産の基本,○
2024,19,419,生産の基本,×
2024,20,420,生産の基本,○
2024,21,421,生産の基本,×
2024,22,422,生産の基本,×
2024,23,423,生産の基本,×
2024,24,424,効率化とロス,○
2024,25,425,効率化とロス,○
2024,26,426,効率化とロス,×
2024,27,427,効率化とロス,×
2024,28,428,効率化とロス,×
2024,29,429,効率化とロス,○
2024,30,430,効率化とロス,○
2024,31,431,効率化とロス,○
2024,32,432,効率化とロス,×
2024,33,433,効率化とロス,×
2024,34,434,効率化とロス,○
2024,35,435,効率化とロス,○
2024,36,436,効率化とロス,×
2024,37,437,効率化とロス,×
2024,38,438,効率化とロス,×
2024,39,439,効率化とロス,○
2024,40,440,効率化とロス,×
2024,41,441,効率化とロス,×
2024,42,442,効率化とロス,×
2024,43,443,設備の日常保全,○
2024,44,444,設備の日常保全,○
2024,45,445,設備の日常保全,○
2024,46,446,設備の日常保全,×
2024,47,447,設備の日常保全,○
2024,48,448,設備の日常保全,×
2024,49,449,設備の日常保全,×
2024,50,450,設備の日常保全,○
2024,51,451,設備の日常保全,×
2024,52,452,設備の日常保全,×
2024,53,453,設備の日常保全,○
2024,54,454,設備の日常保全,○
2024,55,455,設備の日常保全,○
2024,56,456,設備の日常保全,○
2024,57,457,設備の日常保全,○
2024,58,458,設備の日常保全,×
2024,59,459,設備の日常保全,×
2024,60,460,設備の日常保全,○
2024,61,461,設備の日常保全,○
2024,62,462,改善・解析,○
2024,63,463,改善・解析,×
2024,64,464,改善・解析,○
2024,65,465,改善・解析,×
2024,66,466,改善・解析,○
2024,67,467,改善・解析,○
2024,68,468,改善・解析,×
2024,69,469,改善・解析,○
2024,70,470,改善・解析,×
2024,71,471,改善・解析,○
2024,72,472,改善・解析,×
2024,73,473,改善・解析,○
2024,74,474,改善・解析,○
2024,75,475,改善・解析,○
2024,76,476,設備保全の基礎,×
2024,77,477,設備保全の基礎,×
2024,78,478,設備保全の基礎,×
2024,79,479,設備保全の基礎,○
2024,80,480,設備保全の基礎,×
2024,81,481,設備保全の基礎,○
2024,82,482,設備保全の基礎,○
2024,83,483,設備保全の基礎,○
2024,84,484,設備保全の基礎,×
2024,85,485,設備保全の基礎,×
2024,86,486,設備保全の基礎,○
2024,87,487,設備保全の基礎,×
2024,88,488,設備保全の基礎,○
2024,89,489,設備保全の基礎,×
2024,90,490,設備保全の基礎,×
2024,91,491,設備保全の基礎,○
2024,92,492,設備保全の基礎,○
2024,93,493,設備保全の基礎,○
2024,94,494,設備保全の基礎,×
2024,95,495,設備保全の基礎,×
2024,96,496,設備保全の基礎,○
2024,97,497,設備保全の基礎,×
2024,98,498,設備保全の基礎,×
2024,99,499,設備保全の基礎,×
2024,100,500,設備保全の基礎,×
2025,1,501,生産の基本,×
2025,2,502,生産の基本,○
2025,3,503,生産の基本,○
2025,4,504,生産の基本,×
2025,5,505,生産の基本,×
2025,6,506,生産の基本,×
2025,7,507,生産の基本,○
2025,8,508,生産の基本,×
2025,9,509,生産の基本,×
2025,10,510,生産の基本,×
2025,11,511,生産の基本,×
2025,12,512,生産の基本,×
2025,13,513,生産の基本,○
2025,14,514,生産の基本,○
2025,15,515,生産の基本,○
2025,16,516,生産の基本,○
2025,17,517,生産の基本,×
2025,18,518,生産の基本,×
2025,19,519,生産の基本,○
2025,20,520,設備の日常保全,×
2025,21,521,効率化とロス,○
2025,22,522,効率化とロス,○
2025,23,523,効率化とロス,○
2025,24,524,効率化とロス,×
2025,25,525,効率化とロス,○
2025,26,526,効率化とロス,×
2025,27,527,効率化とロス,×
2025,28,528,効率化とロス,×
2025,29,529,効率化とロス,○
2025,30,530,効率化とロス,○
2025,31,531,効率化とロス,×
2025,32,532,効率化とロス,×
2025,33,533,効率化とロス,×
2025,34,534,効率化とロス,○
2025,35,535,効率化とロス,×
2025,36,536,効率化とロス,×
2025,37,537,効率化とロス,×
2025,38,538,効率化とロス,×
2025,39,539,効率化とロス,○
2025,40,540,効率化とロス,×
2025,41,541,効率化とロス,○
2025,42,542,効率化とロス,×
2025,43,543,設備の日常保全,○
2025,44,544,設備の日常保全,○
2025,45,545,設備の日常保全,×
2025,46,546,設備の日常保全,×
2025,47,547,設備の日常保全,×
2025,48,548,設備の日常保全,○
2025,49,549,設備の日常保全,○
2025,50,550,設備の日常保全,×
2025,51,551,設備の日常保全,○
2025,52,552,設備の日常保全,×
2025,53,553,設備の日常保全,○
2025,54,554,設備の日常保全,○
2025,55,555,設備の日常保全,○
2025,56,556,設備の日常保全,○
2025,57,557,設備の日常保全,○
2025,58,558,改善・解析,×
2025,59,559,改善・解析,○
2025,60,560,改善・解析,○
2025,61,561,改善・解析,×
2025,62,562,改善・解析,○
2025,63,563,改善・解析,×
2025,64,564,改善・解析,×
2025,65,565,改善・解析,×
2025,66,566,改善・解析,○
2025,67,567,改善・解析,×
2025,68,568,改善・解析,×
2025,69,569,改善・解析,○
2025,70,570,改善・解析,×
2025,71,571,改善・解析,○
2025,72,572,改善・解析,○
2025,73,573,改善・解析,○
2025,74,574,設備保全の基礎,○
2025,75,575,設備保全の基礎,○
2025,76,576,設備保全の基礎,×
2025,77,577,設備保全の基礎,×
2025,78,578,設備保全の基礎,○
2025,79,579,設備保全の基礎,○
2025,80,580,設備保全の基礎,×
2025,81,581,設備保全の基礎,○
2025,82,582,設備保全の基礎,×
2025,83,583,設備保全の基礎,○
2025,84,584,設備保全の基礎,×
2025,85,585,設備保全の基礎,×
2025,86,586,設備保全の基礎,×
2025,87,587,設備保全の基礎,×
2025,88,588,設備保全の基礎,○
2025,89,589,設備保全の基礎,○
2025,90,590,設備保全の基礎,○
2025,91,591,設備保全の基礎,○
2025,92,592,設備保全の基礎,×
2025,93,593,設備保全の基礎,×
2025,94,594,設備保全の基礎,×
2025,95,595,設備保全の基礎,○
2025,96,596,設備保全の基礎,○
2025,97,597,設備保全の基礎,×
2025,98,598,設備保全の基礎,○
2025,99,599,設備保全の基礎,×
2025,100,600,設備保全の基礎,○
